         505017 function calls (481555 primitive calls) in 84.998 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        7    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
      690    0.003    0.000    0.003    0.000 {method 'acquire' of '_thread.RLock' objects}
    14050    0.003    0.000    0.003    0.000 {built-in method builtins.ord}
     4683    0.003    0.000    0.003    0.000 {method 'append' of 'list' objects}
     3050    0.003    0.000    0.003    0.000 {method 'endswith' of 'str' objects}
      667    0.002    0.000    0.003    0.000 std.py:153(__init__)
        7    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1551(find_spec)
        7    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1522(_get_spec)
       12    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1624(find_spec)
        2    0.000    0.000    0.002    0.001 proglog.py:173(iter_bar)
      689    0.002    0.000    0.002    0.000 {method 'release' of '_multiprocessing.SemLock' objects}
        2    0.000    0.000    0.002    0.001 proglog.py:327(new_tqdm_bar)
     2828    0.002    0.000    0.002    0.000 proglog.py:161(bar_is_logged)
     2840    0.002    0.000    0.002    0.000 {method 'pop' of 'dict' objects}
       10    0.000    0.000    0.002    0.000 __init__.py:330(_compile)
        2    0.000    0.000    0.002    0.001 std.py:952(__init__)
        6    0.001    0.000    0.002    0.000 subprocess.py:584(list2cmdline)
        5    0.000    0.000    0.001    0.000 _compiler.py:743(compile)
      673    0.001    0.000    0.001    0.000 {method 'flush' of '_io.TextIOWrapper' objects}
        6    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:782(_compile_bytecode)
        6    0.001    0.000    0.001    0.000 {built-in method marshal.loads}
     3331    0.001    0.000    0.001    0.000 {built-in method builtins.divmod}
        6    0.000    0.000    0.001    0.000 subprocess.py:1347(_get_handles)
        8    0.000    0.000    0.001    0.000 __init__.py:174(search)
     1376    0.001    0.000    0.001    0.000 {built-in method builtins.max}
       29    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:145(_path_stat)
       29    0.001    0.000    0.001    0.000 {built-in method nt.stat}
        2    0.000    0.000    0.001    0.000 subprocess.py:1682(terminate)
        2    0.001    0.000    0.001    0.000 {built-in method _winapi.TerminateProcess}
     2830    0.001    0.000    0.001    0.000 proglog.py:153(bar_is_ignored)
       16    0.000    0.000    0.001    0.000 _monitor.py:47(get_instances)
      681    0.001    0.000    0.001    0.000 {built-in method builtins.abs}
       58    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:101(_path_join)
       66    0.000    0.000    0.001    0.000 subprocess.py:224(Close)
     1473    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
        5    0.000    0.000    0.001    0.000 _parser.py:970(parse)
       76    0.000    0.000    0.001    0.000 _weakrefset.py:63(__iter__)
       42    0.001    0.000    0.001    0.000 {built-in method _winapi.CloseHandle}
        2    0.000    0.000    0.001    0.000 proglog.py:339(close_tqdm_bar)
      8/5    0.000    0.000    0.001    0.000 _parser.py:451(_parse_sub)
        6    0.000    0.000    0.001    0.000 subprocess.py:1294(_close_pipe_fds)
       16    0.000    0.000    0.001    0.000 _weakrefset.py:95(copy)
        4    0.000    0.000    0.001    0.000 std.py:1265(close)
     10/5    0.000    0.000    0.001    0.000 _parser.py:511(_parse)
       28    0.000    0.000    0.001    0.000 {built-in method builtins.__build_class__}
       17    0.000    0.000    0.001    0.000 _weakrefset.py:37(__init__)
        1    0.001    0.001    0.001    0.001 {built-in method nt.remove}
        5    0.001    0.000    0.001    0.000 {built-in method _thread.start_joinable_thread}
        5    0.000    0.000    0.001    0.000 _compiler.py:576(_code)
        2    0.000    0.000    0.001    0.000 __init__.py:270(findall)
       16    0.000    0.000    0.000    0.000 _weakrefset.py:120(update)
      690    0.000    0.000    0.000    0.000 {method 'release' of '_thread.RLock' objects}
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1675(_fill_cache)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:304(acquire)
        5    0.000    0.000    0.000    0.000 threading.py:953(start)
       12    0.000    0.000    0.000    0.000 {built-in method _winapi.CreatePipe}
     17/5    0.000    0.000    0.000    0.000 _compiler.py:37(_compile)
     1325    0.000    0.000    0.000    0.000 fromnumeric.py:3614(_round_dispatcher)
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:513(cache_from_source)
        2    0.000    0.000    0.000    0.000 utils.py:297(_screen_shape_windows)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:155(_path_is_mode_type)
