         8381846 function calls (8245540 primitive calls) in 14.821 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    27426    0.016    0.000    0.045    0.000 _utils.py:3185(width)
      218    0.000    0.000    0.045    0.000 _strptime.py:381(compile)
    13969    0.011    0.000    0.044    0.000 _utils.py:2660(variadic)
1228/1179    0.001    0.000    0.044    0.000 compat_utils.py:34(__getattribute__)
2258/2239    0.001    0.000    0.044    0.000 {built-in method builtins.hasattr}
5660/5658    0.004    0.000    0.044    0.000 _utils.py:2262(__bool__)
    48807    0.044    0.000    0.044    0.000 {method 'match' of 're.Pattern' objects}
        1    0.000    0.000    0.043    0.043 YoutubeDL.py:871(get_info_extractor)
        1    0.000    0.000    0.043    0.043 lazy_extractors.py:36(__new__)
        8    0.000    0.000    0.043    0.005 _utils.py:5032(__get__)
        2    0.000    0.000    0.043    0.022 lazy_extractors.py:30(real_class)
        1    0.000    0.000    0.043    0.043 lazy_extractors.py:15343(suitable)
        8    0.000    0.000    0.043    0.005 compat_utils.py:49(__getattr__)
    18226    0.006    0.000    0.043    0.000 {built-in method builtins.max}
     4316    0.017    0.000    0.040    0.000 _utils.py:2774(fix_kv)
       35    0.001    0.000    0.040    0.001 _utils.py:3188(get_max_lens)
        1    0.000    0.000    0.039    0.039 __init__.py:17(gen_extractor_classes)
        2    0.000    0.000    0.039    0.019 __init__.py:53(import_extractors)
       91    0.038    0.000    0.038    0.000 {built-in method _io.open_code}
6690/6166    0.016    0.000    0.038    0.000 traversal.py:115(apply_key)
     4240    0.023    0.000    0.038    0.000 _compiler.py:241(_optimize_charset)
        1    0.001    0.001    0.037    0.037 extractors.py:1(<module>)
       14    0.001    0.000    0.036    0.003 YoutubeDL.py:3977(render_subtitles_table)
    18165    0.007    0.000    0.036    0.000 _utils.py:3189(<genexpr>)
        1    0.000    0.000    0.035    0.035 _utils.py:4783(windows_enable_vt_mode)
        1    0.000    0.000    0.034    0.034 _utils.py:1458(get_windows_version)
        1    0.000    0.000    0.034    0.034 platform.py:447(win32_ver)
        1    0.000    0.000    0.034    0.034 platform.py:388(_win32_ver)
        1    0.000    0.000    0.034    0.034 platform.py:321(_wmi_query)
        1    0.034    0.034    0.034    0.034 {built-in method _wmi.exec_query}
      102    0.001    0.000    0.034    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
     3008    0.002    0.000    0.033    0.000 _parser.py:97(closegroup)
        1    0.000    0.000    0.033    0.033 _clip.py:1(<module>)
    10626    0.005    0.000    0.033    0.000 jsinterp.py:563(<genexpr>)
    14134    0.009    0.000    0.031    0.000 _utils.py:2654(is_iterable_like)
        1    0.000    0.000    0.031    0.031 _tab.py:1(<module>)
    13859    0.020    0.000    0.030    0.000 _parser.py:371(_escape)
    10146    0.008    0.000    0.029    0.000 __init__.py:280(finditer)
        1    0.005    0.005    0.029    0.029 lazy_extractors.py:1(<module>)
      146    0.003    0.000    0.028    0.000 _utils.py:971(__init__)
       89    0.001    0.000    0.028    0.000 <frozen importlib._bootstrap_external>:782(_compile_bytecode)
