         4409 function calls (4402 primitive calls) in 1.123 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        3    0.000    0.000    0.000    0.000 message.py:624(get_content_maintype)
        1    0.000    0.000    0.000    0.000 utils.py:900(default_headers)
       14    0.000    0.000    0.000    0.000 _collections.py:300(add)
        1    0.000    0.000    0.000    0.000 adapters.py:90(_urllib3_request_context)
        2    0.000    0.000    0.000    0.000 <frozen ntpath>:343(expanduser)
       34    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
        1    0.000    0.000    0.000    0.000 client.py:261(__init__)
       14    0.000    0.000    0.000    0.000 utils.py:1045(_validate_header_part)
        3    0.000    0.000    0.000    0.000 idna.py:179(encode)
       44    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
        8    0.000    0.000    0.000    0.000 enum.py:695(__call__)
        3    0.000    0.000    0.000    0.000 poolmanager.py:199(__init__)
       17    0.000    0.000    0.000    0.000 _collections.py:257(__getitem__)
        2    0.000    0.000    0.000    0.000 client.py:463(read)
        1    0.000    0.000    0.000    0.000 request.py:2692(getproxies_registry)
        1    0.000    0.000    0.000    0.000 models.py:85(path_url)
        1    0.000    0.000    0.000    0.000 cookiejar.py:1356(add_cookie_header)
        1    0.000    0.000    0.000    0.000 ssl.py:504(set_alpn_protocols)
        1    0.000    0.000    0.000    0.000 platform.py:656(_platform)
       33    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
        4    0.000    0.000    0.000    0.000 cookiejar.py:761(__init__)
        1    0.000    0.000    0.000    0.000 poolmanager.py:95(_default_key_normalizer)
        8    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
        4    0.000    0.000    0.000    0.000 cookiejar.py:550(domain_match)
        4    0.000    0.000    0.000    0.000 response.py:741(_error_catcher)
        6    0.000    0.000    0.000    0.000 <frozen _collections_abc>:815(__contains__)
       19    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
        1    0.000    0.000    0.000    0.000 ssl.py:441(_encode_hostname)
        1    0.000    0.000    0.000    0.000 connection.py:132(__init__)
       93    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
       76    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
        1    0.000    0.000    0.000    0.000 socket.py:304(makefile)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        4    0.000    0.000    0.000    0.000 cookies.py:349(set_cookie)
        1    0.000    0.000    0.000    0.000 models.py:588(prepare_auth)
        9    0.000    0.000    0.000    0.000 connection.py:404(<genexpr>)
        3    0.000    0.000    0.000    0.000 retry.py:202(__init__)
        5    0.000    0.000    0.000    0.000 {method 'settimeout' of '_socket.socket' objects}
        1    0.000    0.000    0.000    0.000 structures.py:76(copy)
       17    0.000    0.000    0.000    0.000 feedparser.py:79(readline)
        1    0.000    0.000    0.000    0.000 response.py:316(__init__)
        4    0.000    0.000    0.000    0.000 cookies.py:94(origin_req_host)
       12    0.000    0.000    0.000    0.000 threading.py:398(notify)
        2    0.000    0.000    0.000    0.000 response.py:641(release_conn)
        4    0.000    0.000    0.000    0.000 cookiejar.py:1261(__init__)
        1    0.000    0.000    0.000    0.000 ssl.py:677(verify_mode)
       66    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
       11    0.000    0.000    0.000    0.000 <frozen os>:785(encodekey)
        1    0.000    0.000    0.000    0.000 response.py:40(assert_header_parsing)
       25    0.000    0.000    0.000    0.000 utils.py:47(_has_surrogates)
        1    0.000    0.000    0.000    0.000 models.py:494(prepare_body)
       48    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
        4    0.000    0.000    0.000    0.000 cookies.py:46(get_origin_req_host)
        1    0.000    0.000    0.000    0.000 feedparser.py:139(__init__)
        4    0.000    0.000    0.000    0.000 _utils.py:2660(variadic)
        1    0.000    0.000    0.000    0.000 client.py:425(_close_conn)
        1    0.000    0.000    0.000    0.000 __init__.py:299(loads)
        1    0.000    0.000    0.000    0.000 utils.py:1018(get_auth_from_url)
        4    0.000    0.000    0.000    0.000 timeout.py:109(__init__)
        9    0.000    0.000    0.000    0.000 url.py:330(_idna_encode)
        1    0.000    0.000    0.000    0.000 connectionpool.py:1145(_normalize_host)
        1    0.000    0.000    0.000    0.000 connectionpool.py:294(_put_conn)
        2    0.000    0.000    0.000    0.000 ssl.py:669(verify_mode)
        2    0.000    0.000    0.000    0.000 typing.py:1374(__instancecheck__)
        2    0.000    0.000    0.000    0.000 url.py:263(_remove_path_dot_segments)
        1    0.000    0.000    0.000    0.000 retry.py:270(from_int)
        3    0.000    0.000    0.000    0.000 sessions.py:799(mount)
        2    0.000    0.000    0.000    0.000 api_resource.py:162(_get_api_type_and_version)
        2    0.000    0.000    0.000    0.000 {built-in method time.localtime}
       62    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
        3    0.000    0.000    0.000    0.000 parse.py:164(hostname)
        1    0.000    0.000    0.000    0.000 utils.py:660(requote_uri)
        4    0.000    0.000    0.000    0.000 cookies.py:43(get_host)
        1    0.000    0.000    0.000    0.000 openai_object.py:14(__init__)
       18    0.000    0.000    0.000    0.000 {method 'sub' of 're.Pattern' objects}
        1    0.000    0.000    0.000    0.000 ssl_.py:464(is_ipaddress)
       39    0.000    0.000    0.000    0.000 structures.py:58(<genexpr>)
        2    0.000    0.000    0.000    0.000 url.py:100(__new__)
        1    0.000    0.000    0.000    0.000 {method 'close' of '_io.BufferedReader' objects}
        2    0.000    0.000    0.000    0.000 connectionpool.py:346(_get_timeout)
        1    0.000    0.000    0.000    0.000 queue.py:46(__init__)
        2    0.000    0.000    0.000    0.000 models.py:106(_encode_params)
        1    0.000    0.000    0.000    0.000 {built-in method today}
        1    0.000    0.000    0.000    0.000 response.py:685(_init_length)
        1    0.000    0.000    0.000    0.000 client.py:867(__init__)
       12    0.000    0.000    0.000    0.000 cookiejar.py:535(is_HDN)
        1    0.000    0.000    0.000    0.000 socket.py:517(family)
        3    0.000    0.000    0.000    0.000 contextlib.py:303(helper)
        4    0.000    0.000    0.000    0.000 cookiejar.py:691(reach)
